SKU,SKU Description,x86,IBM POWER,ARM,Physical,Virtual,Virtual Datacenters,HPC,SAP,Sap Applications,SAP Solutions,Premium,Standard,Self Support,Add-on,Satellite / Smart Management ,Extended Update support,Extended life cycle support,High availability,Disaster Recovery,"Is it for Edge, Endpoint or gateway?",,Currency,1-Year MSRP,3-Year MSRP,Product Line,# of Sockets,# of Cores,# of Nodes,Support Type,Virtual Guests,System Unit of Measure,Channel F3 SKU
RH00592,"Red Hat Enterprise Linux Server for HPC Compute Node with Extended Update Support for IBM Power, LE, Self-support",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,93,251.51,RHEL,2,,,SELF-SUPPORT,0,SYSTEM,RH00592F3
RH00560,"Red Hat Enterprise Linux Server for HPC Compute Node with Satellite, Self-support (Physical or Virtual Node)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,86,232.88,RHEL,2,,,SELF-SUPPORT,0,SYSTEM,RH00560F3
RH00583,"Red Hat Enterprise Linux Server for HPC Compute Node with Satellite and Extended Update Support, Self-support (Physical or Virtual Node)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,125,337.2,RHEL,2,,,SELF-SUPPORT,0,SYSTEM,RH00583F3
RH00555,"Red Hat Enterprise Linux Server for HPC Head Node, Premium (Physical or Virtual Nodes)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,1793,4840.07,RHEL,2,,,PREMIUM,0,SYSTEM,RH00555F3
RH00556,"Red Hat Enterprise Linux Server for HPC Head Node, Standard (Physical or Virtual Nodes)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,1103,2977.07,RHEL,2,,,STANDARD,0,SYSTEM,RH00556F3
RH02573,"Red Hat Enterprise Linux Server for HPC Head Node for ARM, Standard (Physical Node)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,1103,2977.07,RHEL,2,,,STANDARD,0,PHYSICAL NODE,RH02573F3
RH02579,"Red Hat Enterprise Linux Server for HPC Head Node for ARM, Premium (Physical)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,1793,4840.07,RHEL,2,,,PREMIUM,0,PHYSICAL NODE,RH02579F3
RH02580,"Red Hat Enterprise Linux Server for HPC Head Node for ARM with Satellite, Standard (Physical Node)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,1361,3675.7,RHEL,2,,,STANDARD,0,PHYSICAL NODE,RH02580F3
RH02585,"Red Hat Enterprise Linux Server for HPC Head Node for ARM with Satellite, Premium (Physical)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,2236,6037.98,RHEL,2,,,PREMIUM,0,PHYSICAL NODE,RH02585F3
RH00573,"Red Hat Enterprise Linux Server for HPC Head Node for IBM Power, LE, Premium",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,1793,4840.07,RHEL,2,,,PREMIUM,0,SYSTEM,RH00573F3
RH00574,"Red Hat Enterprise Linux Server for HPC Head Node for IBM Power, LE, Standard",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,1103,2977.07,RHEL,2,,,STANDARD,0,SYSTEM,RH00574F3
RH00557,"Red Hat Enterprise Linux Server for HPC Head Node with Satellite, Premium (Physical or Virtual Nodes)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,2034,5492.12,RHEL,2,,,PREMIUM,0,SYSTEM,RH00557F3
RH00558,"Red Hat Enterprise Linux Server for HPC Head Node with Satellite, Standard (Physical or Virtual Nodes)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,1344,3629.12,RHEL,2,,,STANDARD,0,SYSTEM,RH00558F3
RH02574,"Red Hat Enterprise Linux Server for HPC for ARM, Single System, Standard (Physical)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,206,557.04,RHEL,2,,,STANDARD,0,PHYSICAL NODE,RH02574F3
RH02575,"Red Hat Enterprise Linux Server for HPC for ARM, Single System, Premium (Physical)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,310,836.49,RHEL,2,,,PREMIUM,0,PHYSICAL NODE,RH02575F3
